ICD10-CM DX CODES,LAB CPT CODES,UB REV CODE,,CPT CODE,GRID PRICE,,"REJECTED INEL CODES 
ON 100% PD VALIDATION",,Modifier,CPT DENIAL ,REMOVE Modifer ,,EXCEPTIONS DENIAL CODES,,CHECK INEL CODE,,APPLY DISCOUNTS AFTER DENIAL,,REMOVE DISC AMT. APPLIES ONLY FOR BELOW INEL CODE,,POSSIBLE HCR LIST,,"CPT CODES 
ON 100% PD VALIDATION"
,,,,,,,,,,37999,,,,,,,,,,,,,
,,,,,,,,,,38129,,,,,,,,,,,,,
,,,,,,,,,,38589,,,,,,,,,,,,,
,,,,,,,,,,38999,,,,,,,,,,,,,
,,,,,,,,,,39499,,,,,,,,,,,,,
,,,,,,,,,,39599,,,,,,,,,,,,,
,,,,,,,,,,40299,,,,,,,,,,,,,
,,,,,,,,,,40799,,,,,,,,,,,,,
,,,,,,,,,,40899,,,,,,,,,,,,,
,,,,,,,,,,41599,,,,,,,,,,,,,
,,,,,,,,,,41899,,,,,,,,,,,,,
,,,,,,,,,,42299,,,,,,,,,,,,,
,,,,,,,,,,42699,,,,,,,,,,,,,
,,,,,,,,,,42999,,,,,,,,,,,,,
,,,,,,,,,,43289,,,,,,,,,,,,,
,,,,,,,,,,43499,,,,,,,,,,,,,
,,,,,,,,,,43659,,,,,,,,,,,,,
,,,,,,,,,,43999,,,,,,,,,,,,,
,,,,,,,,,,44238,,,,,,,,,,,,,
,,,,,,,,,,44239,,,,,,,,,,,,,
,,,,,,,,,,44799,,,,,,,,,,,,,
,,,,,,,,,,44899,,,,,,,,,,,,,
,,,,,,,,,,44979,,,,,,,,,,,,,
,,,,,,,,,,45399,,,,,,,,,,,,,
,,,,,,,,,,45499,,,,,,,,,,,,,
,,,,,,,,,,45999,,,,,,,,,,,,,
,,,,,,,,,,46617,,,,,,,,,,,,,
,,,,,,,,,,46999,,,,,,,,,,,,,
,,,,,,,,,,47379,,,,,,,,,,,,,
,,,,,,,,,,47399,,,,,,,,,,,,,
,,,,,,,,,,47579,,,,,,,,,,,,,
,,,,,,,,,,47999,,,,,,,,,,,,,
,,,,,,,,,,48999,,,,,,,,,,,,,
,,,,,,,,,,49329,,,,,,,,,,,,,
,,,,,,,,,,49659,,,,,,,,,,,,,
,,,,,,,,,,49999,,,,,,,,,,,,,
,,,,,,,,,,50549,,,,,,,,,,,,,
,,,,,,,,,,50949,,,,,,,,,,,,,
,,,,,,,,,,51999,,,,,,,,,,,,,
,,,,,,,,,,53899,,,,,,,,,,,,,
,,,,,,,,,,54699,,,,,,,,,,,,,
,,,,,,,,,,55559,,,,,,,,,,,,,
,,,,,,,,,,55899,,,,,,,,,,,,,
,,,,,,,,,,56399,,,,,,,,,,,,,
,,,,,,,,,,58578,,,,,,,,,,,,,
,,,,,,,,,,58579,,,,,,,,,,,,,
,,,,,,,,,,58679,,,,,,,,,,,,,
,,,,,,,,,,58999,,,,,,,,,,,,,
,,,,,,,,,,59889,,,,,,,,,,,,,
,,,,,,,,,,59897,,,,,,,,,,,,,
,,,,,,,,,,59898,,,,,,,,,,,,,
,,,,,,,,,,60659,,,,,,,,,,,,,
,,,,,,,,,,60699,,,,,,,,,,,,,
,,,,,,,,,,64999,,,,,,,,,,,,,
,,,,,,,,,,66999,,,,,,,,,,,,,
,,,,,,,,,,67299,,,,,,,,,,,,,
,,,,,,,,,,67399,,,,,,,,,,,,,
,,,,,,,,,,67599,,,,,,,,,,,,,
,,,,,,,,,,67999,,,,,,,,,,,,,
,,,,,,,,,,68399,,,,,,,,,,,,,
,,,,,,,,,,68899,,,,,,,,,,,,,
,,,,,,,,,,69399,,,,,,,,,,,,,
,,,,,,,,,,69799,,,,,,,,,,,,,
,,,,,,,,,,69899,,,,,,,,,,,,,
,,,,,,,,,,69949,,,,,,,,,,,,,
,,,,,,,,,,69979,,,,,,,,,,,,,
,,,,,,,,,,70999,,,,,,,,,,,,,
,,,,,,,,,,71199,,,,,,,,,,,,,
,,,,,,,,,,72999,,,,,,,,,,,,,
,,,,,,,,,,73499,,,,,,,,,,,,,
,,,,,,,,,,73999,,,,,,,,,,,,,
,,,,,,,,,,74399,,,,,,,,,,,,,
,,,,,,,,,,74799,,,,,,,,,,,,,
,,,,,,,,,,75599,,,,,,,,,,,,,
,,,,,,,,,,75799,,,,,,,,,,,,,
,,,,,,,,,,75824,,,,,,,,,,,,,
,,,,,,,,,,76496,,,,,,,,,,,,,
,,,,,,,,,,76497,,,,,,,,,,,,,
,,,,,,,,,,76498,,,,,,,,,,,,,
,,,,,,,,,,76499,,,,,,,,,,,,,
,,,,,,,,,,76999,,,,,,,,,,,,,
,,,,,,,,,,77299,,,,,,,,,,,,,
,,,,,,,,,,77399,,,,,,,,,,,,,
,,,,,,,,,,77499,,,,,,,,,,,,,
,,,,,,,,,,77599,,,,,,,,,,,,,
,,,,,,,,,,77799,,,,,,,,,,,,,
,,,,,,,,,,77999,,,,,,,,,,,,,
,,,,,,,,,,78099,,,,,,,,,,,,,
,,,,,,,,,,78199,,,,,,,,,,,,,
,,,,,,,,,,78299,,,,,,,,,,,,,
,,,,,,,,,,78399,,,,,,,,,,,,,
,,,,,,,,,,78499,,,,,,,,,,,,,
,,,,,,,,,,78599,,,,,,,,,,,,,
,,,,,,,,,,78699,,,,,,,,,,,,,
,,,,,,,,,,78799,,,,,,,,,,,,,
,,,,,,,,,,78899,,,,,,,,,,,,,
,,,,,,,,,,78999,,,,,,,,,,,,,
,,,,,,,,,,79499,,,,,,,,,,,,,
,,,,,,,,,,79999,,,,,,,,,,,,,
,,,,,,,,,,80299,,,,,,,,,,,,,
,,,,,,,,,,81099,,,,,,,,,,,,,
,,,,,,,,,,81479,,,,,,,,,,,,,
,,,,,,,,,,81599,,,,,,,,,,,,,
,,,,,,,,,,84999,,,,,,,,,,,,,
,,,,,,,,,,85813,,,,,,,,,,,,,
,,,,,,,,,,85999,,,,,,,,,,,,,
,,,,,,,,,,86356,,,,,,,,,,,,,
,,,,,,,,,,86486,,,,,,,,,,,,,
,,,,,,,,,,86586,,,,,,,,,,,,,
,,,,,,,,,,86849,,,,,,,,,,,,,
,,,,,,,,,,86999,,,,,,,,,,,,,
,,,,,,,,,,87999,,,,,,,,,,,,,
,,,,,,,,,,88099,,,,,,,,,,,,,
,,,,,,,,,,88199,,,,,,,,,,,,,
,,,,,,,,,,88299,,,,,,,,,,,,,
,,,,,,,,,,88399,,,,,,,,,,,,,
,,,,,,,,,,88749,,,,,,,,,,,,,
,,,,,,,,,,89240,,,,,,,,,,,,,
,,,,,,,,,,89398,,,,,,,,,,,,,
,,,,,,,,,,89399,,,,,,,,,,,,,
,,,,,,,,,,90399,,,,,,,,,,,,,
,,,,,,,,,,90589,,,,,,,,,,,,,
,,,,,,,,,,90749,,,,,,,,,,,,,
,,,,,,,,,,90799,,,,,,,,,,,,,
,,,,,,,,,,90899,,,,,,,,,,,,,
,,,,,,,,,,90915,,,,,,,,,,,,,
,,,,,,,,,,90929,,,,,,,,,,,,,
,,,,,,,,,,91299,,,,,,,,,,,,,
,,,,,,,,,,92499,,,,,,,,,,,,,
,,,,,,,,,,92599,,,,,,,,,,,,,
,,,,,,,,,,92700,,,,,,,,,,,,,
,,,,,,,,,,92799,,,,,,,,,,,,,
,,,,,,,,,,93599,,,,,,,,,,,,,
,,,,,,,,,,93799,,,,,,,,,,,,,
,,,,,,,,,,93998,,,,,,,,,,,,,
,,,,,,,,,,94699,,,,,,,,,,,,,
,,,,,,,,,,94799,,,,,,,,,,,,,
,,,,,,,,,,95198,,,,,,,,,,,,,
,,,,,,,,,,95199,,,,,,,,,,,,,
,,,,,,,,,,95999,,,,,,,,,,,,,
,,,,,,,,,,96549,,,,,,,,,,,,,
,,,,,,,,,,96999,,,,,,,,,,,,,
,,,,,,,,,,99199,,,,,,,,,,,,,
,,,,,,,,,,99424,,,,,,,,,,,,,
,,,,,,,,,,99429,,,,,,,,,,,,,
,,,,,,,,,,99499,,,,,,,,,,,,,
,,,,,,,,,,99600,,,,,,,,,,,,,
,,,,,,,,,,A9279,,,,,,,,,,,,,
,,,,,,,,,,D9959,,,,,,,,,,,,,
,,,,,,,,,,J0799,,,,,,,,,,,,,
,,,,,,,,,,C9813,,,,,,,,,,,,,
,,,,,,,,,,C9814,,,,,,,,,,,,,
,,,,,,,,,,A4649,,,,,,,,,,,,,
,,,,,,,,,,A9699,,,,,,,,,,,,,
,,,,,,,,,,C1889,,,,,,,,,,,,,
,,,,,,,,,,C9399,,,,,,,,,,,,,
,,,,,,,,,,J3490,,,,,,,,,,,,,
,,,,,,,,,,J3590,,,,,,,,,,,,,
,,,,,,,,,,J3591,,,,,,,,,,,,,
,,,,,,,,,,J7199,,,,,,,,,,,,,
,,,,,,,,,,J7599,,,,,,,,,,,,,
,,,,,,,,,,J7699,,,,,,,,,,,,,
,,,,,,,,,,J7799,,,,,,,,,,,,,
,,,,,,,,,,J7999,,,,,,,,,,,,,
,,,,,,,,,,J8498,,,,,,,,,,,,,
,,,,,,,,,,J8499,,,,,,,,,,,,,
,,,,,,,,,,J8597,,,,,,,,,,,,,
,,,,,,,,,,A9603,,,,,,,,,,,,,
,,,,,,,,,,J8999,,,,,,,,,,,,,
,,,,,,,,,,J9999,,,,,,,,,,,,,
,,,,,,,,,,T5999,,,,,,,,,,,,,
